Адрес,Дальность от метро,Метро,Название,Описание,Ссылка,Стоимость,Стоимость за метр
"Москва, САО, р-н Хорошевский, м. Полежаевская, Зорге 9 ЖК, 9Ак7",6 минут на транспорте,Зорге,"2-комн. апартаменты, 59,6 м², 16/21 этаж",Секция 1 • Сдан,https://www.cian.ru/sale/flat/303024911/,28 497 980 ₽,478 154 ₽/м²
"Москва, ЗАО, р-н Филевский парк, м. Фили, Фили Сити ЖК",5 минут пешком,Фили,"2-комн. квартира, 58,17 м², 29/57 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/304045862/,31 500 000 ₽,541 516 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Павелецкая, Шлюзовая набережная, 2А",5 минут пешком,Павелецкая,2-комнатный апартамент с отделкой,"2-комн. апартаменты, 45,5 м², 2/7 этаж",https://www.cian.ru/sale/flat/282592114/,31 500 000 ₽,692 308 ₽/м²
"Москва, ЮВАО, р-н Нижегородский, м. Нижегородская, Квартал Издание ЖК",18 минут пешком,Нижегородская,"2-комн. квартира, 59,5 м², 25/29 этаж",Секция 5 • Сдача корпуса 3 кв. 2027,https://www.cian.ru/sale/flat/305428003/,19 900 000 ₽,334 454 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Маяковская, 2-я Брестская улица, 6",5 минут пешком,Маяковская,Лучшие виды на Сити!,"2-комн. апартаменты, 87,71 м², 11/12 этаж",https://www.cian.ru/sale/flat/310738950/,61 460 000 ₽,700 718 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Аминьевская, улица Василия Ланового, 3",15 минут пешком,Аминьевская,"2-комн. квартира, 69 м², 4/36 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310574128/,31 000 000 ₽,449 275 ₽/м²
"Москва, СВАО, р-н Свиблово, м. Свиблово, Снежная улица, вл22к3",10 минут пешком,Свиблово,"2-комн. квартира, 67,9 м², 2/16 этаж",Секция 1 • Сдача корпуса 2 кв. 2025,https://www.cian.ru/sale/flat/291740133/,31 678 745 ₽,466 550 ₽/м²
"Москва, ЗАО, р-н Проспект Вернадского, м. Проспект Вернадского, улица Лобачевского",17 минут пешком,Проспект Вернадского,Свободная планировка,"2-комн. квартира, 93,6 м², 25/49 этаж",https://www.cian.ru/sale/flat/307143899/,39 500 000 ₽,422 009 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Третьяковская, Русские Сезоны ЖК, к7Б",3 минуты пешком,Третьяковская,"2-комн. квартира, 69,71 м², 3/5 этаж",Секция 7Б • Сдача корпуса 4 кв. 2025,https://www.cian.ru/sale/flat/310322131/,203 204 650 ₽,2 915 000 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. Тульская, улица Даниловский Вал, 1А",8 минут пешком,Тульская,"2-комн. апартаменты, 98,1 м², 13/13 этаж",Секция 1 • Сдан,https://www.cian.ru/sale/flat/306037987/,Информация отсутствует,966 205 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Терехово , проезд Проектируемый № 1074, 1",5 минут на транспорте,Терехово ,Высокий видовой этаж,"2-комн. квартира, 67,9 м², 21/23 этаж",https://www.cian.ru/sale/flat/309990547/,33 500 000 ₽,493 373 ₽/м²
"Москва, СВАО, р-н Марфино, м. Владыкино, Ботаническая улица, 29Ак3",17 минут пешком,Владыкино,Живи в гармонии с природой!,"2-комн. квартира, 71 м², 4/31 этаж",https://www.cian.ru/sale/flat/308794411/,31 100 000 ₽,438 028 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Фили, Кутузовский проезд, 16А/1",7 минут пешком,Фили,"2-комн. квартира, 63,4 м², 2/46 этаж",Секция 1 • Сдача корпуса 3 кв. 2026,https://www.cian.ru/sale/flat/302037458/,45 595 270 ₽,719 168 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Парк Победы, Виктори Парк Резиденсез ЖК, 3к2",8 минут пешком,Парк Победы,"Отделка white box, эксклюзив","2-комн. квартира, 74,13 м², 2/11 этаж",https://www.cian.ru/sale/flat/301655618/,100 000 000 ₽,1 348 982 ₽/м²
"Москва, ЗАО, р-н Можайский, м. Давыдково, Гжатская улица, 5к4",17 минут пешком,Давыдково,Панорамные окна и живописные виды,"2-комн. квартира, 50,8 м², 14/23 этаж",https://www.cian.ru/sale/flat/309998487/,27 500 000 ₽,541 339 ₽/м²
"Москва, СВАО, р-н Северный, м. Новодачная, Новодачная улица, 67/68",6 минут пешком,Новодачная,"2-комн. апартаменты, 44,4 м², 3/20 этаж",Секция секция 2 • Сдан,https://www.cian.ru/sale/flat/286886016/,11 854 800 ₽,267 000 ₽/м²
"Москва, САО, р-н Беговой, м. Динамо, Ленинградский проспект, 29к3",7 минут пешком,Динамо,Готовая уютная евродвушка ! Топ!,"2-комн. квартира, 62,2 м², 10/15 этаж",https://www.cian.ru/sale/flat/310041544/,38 999 999 ₽,627 010 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Павелецкая, Шлюзовая набережная, 2А",5 минут пешком,Павелецкая,2-комнатный апартамент с отделкой,"2-комн. апартаменты, 45,5 м², 2/7 этаж",https://www.cian.ru/sale/flat/282592114/,31 500 000 ₽,692 308 ₽/м²
"Москва, НАО (Новомосковский), м. Потапово, № 174 кв-л, Новые Смыслы ЖК",5 минут на транспорте,Бунинская аллея,"2-комн. квартира, 53,2 м², 2/30 этаж",Секция 1 • Сдача корпуса 4 кв. 2027,https://www.cian.ru/sale/flat/308688047/,12 502 000 ₽,235 000 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Москва-Сити, Кутузовский проспект, 24",6 минут пешком,Москва-Сити,"2-к. квартира, 50 м², 6/7 эт.","2-комн. квартира, 50 м², 6/7 этаж",https://www.cian.ru/sale/flat/308951576/,37 100 000 ₽,742 000 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Аминьевская, улица Василия Ланового, 3",15 минут пешком,Аминьевская,"2-комн. квартира, 69 м², 4/36 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310574128/,31 000 000 ₽,449 275 ₽/м²
"Москва, СВАО, р-н Бутырский, м. Бутырская, Огородный проезд",6 минут пешком,Бутырская,"2-комн. квартира, 58,66 м², 6/46 этаж",Секция 3 • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/305101588/,27 866 463 ₽,475 051 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Поклонная, Воробьевское шоссе, 4",10 минут на транспорте,Кутузовская,Эстетика минимализма,"2-комн. апартаменты, 73,5 м², 10/13 этаж",https://www.cian.ru/sale/flat/305915966/,69 000 000 ₽,938 776 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Третьяковская, Русские Сезоны ЖК, к7Б",3 минуты пешком,Третьяковская,"2-комн. квартира, 69,71 м², 3/5 этаж",Секция 7Б • Сдача корпуса 4 кв. 2025,https://www.cian.ru/sale/flat/310322131/,203 204 650 ₽,2 915 000 ₽/м²
"Москва, СЗАО, р-н Щукино, м. Стрешнево, 1-й Красногорский проезд",5 минут пешком,Стрешнево,"2-комн. квартира, 63,3 м², 22/30 этаж",Секция 1 • Сдача корпуса 1 кв. 2027,https://www.cian.ru/sale/flat/308009026/,22 731 030 ₽,359 100 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Поклонная, Воробьевское шоссе, 4",5 минут на транспорте,Поклонная,"2-комн. апартаменты, 68,9 м², 4/13 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308413458/,95 000 000 ₽,1 378 810 ₽/м²
"Москва, СВАО, р-н Марфино, м. Владыкино, Ботаническая улица, 29Ак3",17 минут пешком,Владыкино,Живи в гармонии с природой!,"2-комн. квартира, 71 м², 4/31 этаж",https://www.cian.ru/sale/flat/308794411/,31 100 000 ₽,438 028 ₽/м²
"Москва, ВАО, р-н Преображенское, м. Преображенская площадь, Потешная улица",17 минут пешком,Преображенская площадь,"2-комн. апартаменты, 35,32 м², 2/20 этаж",Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/304955152/,12 362 000 ₽,350 000 ₽/м²
"Москва, ЗАО, р-н Дорогомилово, м. Поклонная, улица Братьев Фонченко, вл3",6 минут на транспорте,Кутузовская,Срочная продажа!!!,"2-комн. квартира, 65 м², 5/11 этаж",https://www.cian.ru/sale/flat/306656209/,68 000 000 ₽,1 046 154 ₽/м²
"Москва, ЦАО, р-н Тверской, м. Новослободская, улица Фадеева, 4А",10 минут пешком,Маяковская,Квартира мечты в центре Москвы,"2-комн. квартира, 70 м², 6/10 этаж",https://www.cian.ru/sale/flat/298529365/,88 000 000 ₽,1 257 143 ₽/м²
"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, улица 8-я Соколиной Горы, 26",4 минуты пешком,Соколиная гора,"2-комн. квартира, 41 м², 3/17 этаж",Секция Корпус Б • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/309403148/,15 485 700 ₽,377 700 ₽/м²
"Москва, ЮВАО, р-н Печатники, м. Угрешская, Южнопортовая улица",6 минут на транспорте,Кожуховская,"2-комн. квартира, 70,5 м², 8/22 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/299638719/,27 250 000 ₽,386 525 ₽/м²
"Москва, ЗАО, р-н Тропарево-Никулино, м. Озёрная, Никулинская улица, 8к3",18 минут пешком,Озёрная,Отличное состояние!,"2-комн. квартира, 60 м², 7/24 этаж",https://www.cian.ru/sale/flat/305836830/,31 800 000 ₽,530 000 ₽/м²
"Москва, НАО (Новомосковский), м. Филатов Луг, № 82 кв-л, Новое Летово ЖК, к1",7 минут на транспорте,Филатов Луг,"2-комн. квартира, 58,9 м², 2/7 этаж",Секция 6 • Сдача корпуса 2 кв. 2025,https://www.cian.ru/sale/flat/310684748/,15 632 060 ₽,265 400 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Деловой центр, 1-й Красногвардейский проезд, 22",5 минут пешком,Москва-Сити,Дизайнерский ремонт,"2-комн. апартаменты, 123 м², 43/73 этаж",https://www.cian.ru/sale/flat/294457758/,149 000 000 ₽,1 211 382 ₽/м²
"Москва, ВАО, р-н Соколиная гора, м. Соколиная гора, Окружной проезд, 35",11 минут пешком,Шоссе Энтузиастов,квартира 2 комнатная,"2-комн. квартира, 37,1 м², 6/9 этаж",https://www.cian.ru/sale/flat/307611634/,12 000 000 ₽,323 450 ₽/м²
"Москва, ЮВАО, р-н Нижегородский, м. Нижегородская, Левел Нижегородская ЖК, 1",10 минут пешком,Нижегородская,"2-комн. квартира, 37 м², 40/45 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/310308496/,14 098 289 ₽,381 035 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Деловой центр, 1-й Красногвардейский проезд, 22",5 минут пешком,Москва-Сити,Новый дизайнерский ремонт,"2-комн. апартаменты, 111 м², 62/77 этаж",https://www.cian.ru/sale/flat/280116651/,149 000 000 ₽,1 342 342 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Народное Ополчение, проспект Маршала Жукова, 43к5",12 минут пешком,Народное Ополчение,Современная классика | Сауна,"2-комн. квартира, 70 м², 12/32 этаж",https://www.cian.ru/sale/flat/309748028/,30 690 000 ₽,438 429 ₽/м²
"Москва, ЮВАО, р-н Нижегородский, м. Нижегородская, Квартал Издание ЖК",18 минут пешком,Нижегородская,"2-комн. квартира, 59,5 м², 25/29 этаж",Секция 5 • Сдача корпуса 3 кв. 2027,https://www.cian.ru/sale/flat/305428003/,19 900 000 ₽,334 454 ₽/м²
"Москва, ЗАО, р-н Очаково-Матвеевское, м. Давыдково, Аминьевское шоссе, 6",12 минут пешком,Давыдково,"эксклюзивный дизайн, новый ремонт","2-комн. апартаменты, 50 м², 5/24 этаж",https://www.cian.ru/sale/flat/310385726/,26 990 000 ₽,539 800 ₽/м²
"Москва, СВАО, р-н Марьина роща, м. Марьина Роща, проезд 12-й Марьиной рощи, 8С2",8 минут пешком,Марьина Роща,"Стильный, видовой лофт ""под ключ""","2-комн. апартаменты, 75,7 м², 4/4 этаж",https://www.cian.ru/sale/flat/309346224/,36 700 000 ₽,484 808 ₽/м²
"Москва, ЮЗАО, р-н Ясенево, м. Тёплый Стан, Новоясеневский проспект, 3В",10 минут пешком,Тёплый Стан,"2-комн. апартаменты, 69,2 м², 11/14 этаж",Секция 2 • Сдан,https://www.cian.ru/sale/flat/297413640/,20 490 120 ₽,296 100 ₽/м²
"Москва, ЦАО, р-н Красносельский, м. Площадь трёх вокзалов, Большая Спасская улица, 35",9 минут пешком,Комсомольская,Срочная продажа,"2-комн. квартира, 55,7 м², 22/22 этаж",https://www.cian.ru/sale/flat/304965476/,39 500 000 ₽,709 156 ₽/м²
"Москва, САО, р-н Войковский, м. Красный Балтиец, Вокзальный переулок, 7К2",15 минут пешком,Войковская,"2-комн. квартира, 38,7 м², 11/14 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310325643/,14 300 000 ₽,369 509 ₽/м²
"Москва, НАО (Новомосковский), м. Прокшино, пос. Коммунарка, Новая Звезда ЖК",6 минут на транспорте,Новомосковская,"2-комн. квартира, 47,7 м², 15/22 этаж",Секция 1 • Сдача корпуса 2 кв. 2027,https://www.cian.ru/sale/flat/306784458/,12 688 200 ₽,266 000 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Раменки, Мосфильмовская улица, 88к4с2",11 минут пешком,Раменки,В зелёном районе,"2-комн. квартира, 73,5 м², 20/21 этаж",https://www.cian.ru/sale/flat/305317343/,47 400 000 ₽,644 898 ₽/м²
"Москва, ЦАО, р-н Замоскворечье, м. Новокузнецкая, Космодамианская набережная, 4/22С8",10 минут пешком,Новокузнецкая,"2-комн. квартира, 71,56 м², 2/6 этаж",Секция 1 • Сдача корпуса 2 кв. 2025,https://www.cian.ru/sale/flat/308080996/,135 820 880 ₽,1 898 000 ₽/м²
"Москва, НАО (Новомосковский), м. Мичуринец, Переделкино Ближнее мкр, 18-й кв-л",12 минут пешком,Мичуринец,"2-комн. квартира, 50,8 м², 7/17 этаж",Секция 2 • Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/305331201/,13 523 634 ₽,266 213 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Кутузовская, Хайд ЖК, Парклэйн тер., к2",18 минут пешком,Кутузовская,Вид на МГУ и Воробьевы горы!,"2-комн. квартира, 57 м², 23/41 этаж",https://www.cian.ru/sale/flat/310805027/,34 000 000 ₽,596 491 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Минская, Минская улица, 1Б",10 минут пешком,Минская,В зелёном районе,"2-комн. апартаменты, 136 м², 6/6 этаж",https://www.cian.ru/sale/flat/309085932/,45 000 000 ₽,330 882 ₽/м²
"Москва, НАО (Новомосковский), м. Прокшино, Прокшино ЖК, к11.1.2",4 минуты на транспорте,Прокшино,"2-комн. квартира, 34,4 м², 4/16 этаж",Секция 11 • Сдача корпуса 3 кв. 2025,https://www.cian.ru/sale/flat/310896449/,10 817 218 ₽,314 454 ₽/м²
"Москва, СЗАО, р-н Хорошево-Мневники, м. Народное Ополчение, Шелепихинская набережная, 40к3",9 минут на транспорте,Народное Ополчение,"2-комн. квартира, 72 м², 15/29 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/304909351/,39 000 000 ₽,541 667 ₽/м²
"Москва, ВАО, р-н Преображенское, м. Преображенская площадь, Электрозаводская улица, 33С4",7 минут пешком,Преображенская площадь,Уютная терраса,"2-комн. апартаменты, 98 м², 1/3 этаж",https://www.cian.ru/sale/flat/310778454/,36 500 000 ₽,372 449 ₽/м²
"Москва, ЮЗАО, р-н Южное Бутово, м. Бунинская аллея, Южные Сады ЖК, к2.3",18 минут пешком,Бунинская аллея,"2-комн. квартира, 38,4 м², 23/30 этаж",Секция 7 • Сдача корпуса 2 кв. 2025,https://www.cian.ru/sale/flat/310897426/,11 063 887 ₽,288 122 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Кутузовская, Хайд ЖК, Уэстдейл корпус, к1",18 минут пешком,Кутузовская,Шикарный вид на парк и МГУ,"2-комн. квартира, 54 м², 11/41 этаж",https://www.cian.ru/sale/flat/310744648/,31 500 000 ₽,583 333 ₽/м²
"Москва, ЮЗАО, р-н Обручевский, м. Новаторская, Ленинский проспект, 111к1",20 минут пешком,Новаторская,Лучшая цена!,"2-комн. квартира, 68 м², 27/34 этаж",https://www.cian.ru/sale/flat/308182044/,31 500 000 ₽,463 235 ₽/м²
"Москва, ВАО, р-н Метрогородок, м. Бульвар Рокоссовского, Тагильская улица, 6/5",9 минут на транспорте,Локомотив,"2-комн. квартира, 57,5 м², 11/31 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/304688128/,19 250 000 ₽,334 783 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Раменки, Винницкая улица, 8к4",10 минут пешком,Раменки,Для инвестиций,"2-комн. квартира, 62,9 м², 9/11 этаж",https://www.cian.ru/sale/flat/306787848/,36 000 000 ₽,572 337 ₽/м²
"Москва, СВАО, р-н Марьина роща, м. Марьина Роща, 1-я Ямская улица, 6",5 минут пешком,Марьина Роща,"Джаз 2-ком.кв. 50 м², корпус RAY,","2-комн. квартира, 50 м², 2/21 этаж",https://www.cian.ru/sale/flat/306717695/,39 900 000 ₽,798 000 ₽/м²
"Москва, ТАО (Троицкий), Троицк, Академик ЖК",Информация отсутствует,Информация отсутствует,"2-комн. квартира, 57,7 м², 2/19 этаж",Секция Позиция № • Сдача корпуса 2 кв. 2026,https://www.cian.ru/sale/flat/300605919/,12 474 740 ₽,216 200 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Кутузовская, 1-й Сетуньский проезд, 8",18 минут пешком,Кутузовская,Шикарный вид на Москва Сити!,"2-комн. квартира, 47 м², 12/41 этаж",https://www.cian.ru/sale/flat/309010129/,29 500 000 ₽,627 660 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. Павелецкая, Дубининская улица, 59А",4 минуты на транспорте,Серпуховская,Квартира с дизайнерским ремонтом,"2-комн. квартира, 58,5 м², 10/46 этаж",https://www.cian.ru/sale/flat/302295108/,41 400 000 ₽,707 692 ₽/м²
"Москва, ЮАО, р-н Москворечье-Сабурово, м. Борисово, Вэйв ЖК",5 минут на транспорте,Борисово,"2-комн. квартира, 48 м², 2/30 этаж",Секция 1 • Сдача корпуса 4 кв. 2026,https://www.cian.ru/sale/flat/301419726/,17 142 000 ₽,357 125 ₽/м²
"Москва, ЗАО, р-н Раменки, м. Кутузовская, 1-й Сетуньский проезд, 8",18 минут пешком,Кутузовская,Виды на Воробьевы Горы и МГУ!,"2-комн. квартира, 56 м², 14/41 этаж",https://www.cian.ru/sale/flat/308410137/,34 100 000 ₽,608 929 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Фрунзенская, Оболенский переулок, 7",8 минут пешком,Фрунзенская,Лучшее предложение в доме.,"2-комн. квартира, 63,5 м², 1/10 этаж",https://www.cian.ru/sale/flat/307145183/,31 900 000 ₽,502 362 ₽/м²
"Москва, НАО (Новомосковский), м. Ольховая, Деснаречье ЖК",12 минут на транспорте,Ольховая,"2-комн. квартира, 35,9 м², 11/15 этаж",Секция 9 • Сдача корпуса 4 кв. 2025,https://www.cian.ru/sale/flat/310896592/,9 263 027 ₽,258 023 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Деловой центр, 1-й Красногвардейский проезд, 15",4 минуты пешком,Деловой центр,Апартамент с видом на реку,"2-комн. апартаменты, 114,2 м², 46/75 этаж",https://www.cian.ru/sale/flat/305062355/,86 000 000 ₽,753 065 ₽/м²
"Москва, ЦАО, р-н Якиманка, м. Серпуховская, Мытная улица, 40к2",11 минут пешком,Серпуховская,"2-комн. квартира, 66,3 м², 7/30 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309515848/,47 000 000 ₽,708 899 ₽/м²
"Москва, ВАО, р-н Преображенское, м. Преображенская площадь, Электрозаводская улица, 33С4",7 минут пешком,Преображенская площадь,Уютная терраса,"2-комн. апартаменты, 98 м², 1/3 этаж",https://www.cian.ru/sale/flat/310778454/,36 500 000 ₽,372 449 ₽/м²
"Москва, ЮВАО, р-н Южнопортовый, м. Дубровка, улица 1-я Машиностроения, 10",7 минут пешком,Дубровка,Дизайнерская квартира,"2-комн. квартира, 70 м², 27/27 этаж",https://www.cian.ru/sale/flat/305688198/,38 000 000 ₽,542 857 ₽/м²
"Москва, СВАО, р-н Останкинский, м. Алексеевская, проспект Мира, 95",2 минуты пешком,Алексеевская,Дизайнерский ремонт,"2-комн. апартаменты, 75 м², 10/15 этаж",https://www.cian.ru/sale/flat/310431710/,40 000 000 ₽,533 333 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Улица 1905 года, Ходынская улица, 2",13 минут пешком,Улица 1905 года,"2-комн. квартира, 49,5 м², 38/44 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/304734283/,41 500 000 ₽,838 384 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Краснопресненская, Дружинниковская улица, 15",2 минуты пешком,Краснопресненская,"2-комн. апартаменты, 96,9 м², 11/20 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/293809448/,89 900 000 ₽,927 761 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Москва-Сити, Краснопресненская набережная, 14Ак2",7 минут пешком,Москва-Сити,"2-комн. квартира, 83,3 м², 59/67 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/308945504/,99 960 000 ₽,1 200 000 ₽/м²
"Москва, ЦАО, р-н Басманный, м. Тургеневская, Кривоколенный переулок, 10С4",8 минут пешком,Лубянка,Апартаменты с отельным сервисом,"2-комн. апартаменты, 95,7 м², 3/5 этаж",https://www.cian.ru/sale/flat/309301057/,120 000 000 ₽,1 253 918 ₽/м²
"Москва, ТАО (Троицкий), Троицк, улица Георгия Скребицкого, 7",Информация отсутствует,Информация отсутствует,Двушка под ключ в новом доме!,"2-комн. квартира, 53,4 м², 3/4 этаж",https://www.cian.ru/sale/flat/310866371/,10 840 000 ₽,202 996 ₽/м²
"Москва, ЗелАО, р-н Матушкино, м. Зеленоград — Крюково, Зеленоград, мкр. 4-й, к436",6 минут на транспорте,Зеленоград — Крюково,"2-комн. квартира, 55,7 м², 16/17 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309501959/,12 500 000 ₽,224 417 ₽/м²
"Москва, ЮВАО, р-н Текстильщики, м. Текстильщики, Волжский бульвар, 12К1",11 минут пешком,Текстильщики,"2-комн. квартира, 38 м², 8/9 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310941061/,12 700 000 ₽,334 211 ₽/м²
"Москва, ЮЗАО, р-н Котловка, м. Нагорная, Нагорный бульвар, 17",12 минут пешком,Нагорная,Лучшая цена! Двушка 44м Реновация,"2-комн. квартира, 44,5 м², 4/5 этаж",https://www.cian.ru/sale/flat/310783473/,13 000 000 ₽,292 135 ₽/м²
"Москва, НАО (Новомосковский), м. Рассказовка, Московский г., улица Солнечная, 13",9 минут на транспорте,Рассказовка,"2-комн. квартира, 51,1 м², 3/17 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310607329/,13 200 000 ₽,258 317 ₽/м²
"Москва, ЗАО, р-н Солнцево, м. Солнцево, Солнцевский проспект, 26К1",15 минут пешком,Солнцево,"2-комн. квартира, 51 м², 4/12 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309990408/,14 000 000 ₽,274 510 ₽/м²
"Москва, ЮАО, р-н Чертаново Южное, м. Пражская, Чертановская улица, 49К2",14 минут пешком,Пражская,"2-комн. квартира, 49 м², 4/9 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310825017/,14 790 000 ₽,301 837 ₽/м²
"Москва, СВАО, р-н Марьина роща, м. Марьина Роща, улица 2-я Марьиной рощи, 14А",3 минуты пешком,Марьина Роща,Уютная и светлая,"2-комн. квартира, 45 м², 2/5 этаж",https://www.cian.ru/sale/flat/310176294/,17 000 000 ₽,377 778 ₽/м²
"Москва, ЗАО, р-н Филевский парк, м. Багратионовская, улица Василисы Кожиной, 14К6",13 минут пешком,Багратионовская,Лучшее для Вашей семьи!,"2-комн. квартира, 58,6 м², 2/12 этаж",https://www.cian.ru/sale/flat/308642443/,18 500 000 ₽,315 700 ₽/м²
"Москва, САО, р-н Хорошевский, м. Хорошёвская, 1-я Магистральная улица, 25",10 минут пешком,Хорошёвская,"2-к апартаменты в ЖК ""Мята""","2-комн. апартаменты, 46 м², 13/22 этаж",https://www.cian.ru/sale/flat/309684709/,21 000 000 ₽,456 522 ₽/м²
"Москва, ЗАО, р-н Филевский парк, м. Фили, Багратионовский проезд, 5Ак1",5 минут пешком,Фили,Видовая квартира,"2-комн. квартира, 46 м², 23/42 этаж",https://www.cian.ru/sale/flat/306777330/,23 700 000 ₽,515 217 ₽/м²
"Москва, ЮАО, р-н Даниловский, м. ЗИЛ, бульвар Братьев Весниных, 2",20 минут пешком,Автозаводская,"2-комн. квартира, 45,4 м², 18/20 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310432869/,23 900 000 ₽,526 432 ₽/м²
"Москва, ЮАО, р-н Нагатинский затон, м. Нагатинский Затон, Коломенская улица, 12к3",13 минут пешком,Нагатинский Затон,Просторная видовая квартира,"2-комн. квартира, 55,9 м², 19/21 этаж",https://www.cian.ru/sale/flat/308525173/,23 750 000 ₽,424 866 ₽/м²
"Москва, ЮЗАО, р-н Котловка, м. Крымская, Севастопольский проспект, 22А",20 минут пешком,Нагорная,"2-комн. квартира, 47,4 м², 20/42 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/310094637/,25 900 000 ₽,546 414 ₽/м²
"Москва, ЮЗАО, р-н Гагаринский, м. Университет, Ломоносовский проспект, 18",6 минут пешком,Университет,Лучшее предложение! Звони!,"2-комн. квартира, 55,5 м², 6/9 этаж",https://www.cian.ru/sale/flat/310077455/,28 500 000 ₽,513 514 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Шелепиха, Шмитовский проезд, 39к8",10 минут пешком,Шелепиха,"2-комн. квартира, 65,4 м², 30/53 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/307850871/,28 800 000 ₽,440 367 ₽/м²
"Москва, ЦАО, р-н Пресненский, м. Шелепиха, Шмитовский проезд, 39к8",9 минут пешком,Шелепиха,"2-комн. квартира, 42 м², 33/35 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309269696/,29 500 000 ₽,702 381 ₽/м²
"Москва, ЦАО, р-н Басманный, м. Красные ворота, Садовая-Черногрязская улица, 16-18С1",7 минут пешком,Красные ворота,"2-комн. квартира, 54 м², 2/8 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/307683064/,30 700 000 ₽,568 519 ₽/м²
"Москва, САО, р-н Хорошевский, м. ЦСКА, улица Авиаконструктора Сухого, 2к1",9 минут пешком,ЦСКА,Квартира в ЖК Лица,"2-комн. квартира, 55 м², 12/22 этаж",https://www.cian.ru/sale/flat/307541966/,32 000 000 ₽,581 818 ₽/м²
"Москва, ЗАО, р-н Филевский парк, м. Шелепиха, Береговой проезд, 1Б",20 минут пешком,Шелепиха,"2-комн. квартира, 71 м², 22/28 этаж",Информация отсутствует,https://www.cian.ru/sale/flat/309668550/,33 500 000 ₽,471 831 ₽/м²
"Москва, ЦАО, р-н Хамовники, м. Парк Культуры, Комсомольский проспект, 14/1К3",8 минут пешком,Парк Культуры,Ремонт I Тихо I Хамовники,"2-комн. квартира, 56,6 м², 2/5 этаж",https://www.cian.ru/sale/flat/307996388/,38 500 000 ₽,680 212 ₽/м²
